"","fama_macbeth_bi.MAX","fama_macbeth_bi.Size","fama_macbeth_bi.BM","fama_macbeth_bi.Momentum","fama_macbeth_bi.Rev","fama_macbeth_bi.CP","fama_macbeth_bi.SSKEW","fama_macbeth_bi.ISKEW","fama_macbeth_bi.ILLIQ","fama_macbeth_bi.IV"
"1","-0.00097","-0.27514 ***","","","","","","","",""
"2","( 0.61807 )","( 0.00076 )","","","","","","","",""
"3","0.01049","","-0.11889 *","","","","","","",""
"4","( 0.33965 )","","( 0.07454 )","","","","","","",""
"5","-0.00732","","","-0.08069","","","","","",""
"6","( 0.32925 )","","","( 0.25304 )","","","","","",""
"7","0.02314","","","","-0.1636 **","","","","",""
"8","( 0.34802 )","","","","( 0.01761 )","","","","",""
"9","-0.00024 ***","","","","","-0.08451","","","",""
"10","( 0.00529 )","","","","","( 0.22725 )","","","",""
"11","0.02552","","","","","","-0.28121 ***","","",""
"12","( 0.55138 )","","","","","","( 0.00167 )","","",""
"13","0.00243","","","","","","","-0.13349","",""
"14","( 0.44908 )","","","","","","","( 0.10711 )","",""
"15","-2579.97739","","","","","","","","-0.13773 **",""
"16","( 0.52846 )","","","","","","","","( 0.02025 )",""
"17","-0.29446 ***","","","","","","","","","0.19039"
"18","( 0.00023 )","","","","","","","","","( 0.105 )"
"19","-0.25917 *","-0.00213","-0.00754","0.01491 **","-0.03481","-1e-04","-0.00464","0.00492","-1538.29939","-0.04469"
"20","( 0.08862 )","( 0.33472 )","( 0.54565 )","( 0.04843 )","( 0.28328 )","( 0.17305 )","( 0.8912 )","( 0.121 )","( 0.59434 )","( 0.72327 )"
