Name,RF
31/01/1994,3.75
28/02/1994,4.0625
31/03/1994,4.25
29/04/1994,4.5
31/05/1994,5
30/06/1994,5.375
29/07/1994,5.3125
31/08/1994,5.25
30/09/1994,5.75
31/10/1994,6.8125
30/11/1994,7.375
30/12/1994,6.9375
31/01/1995,7.125
28/02/1995,6.625
31/03/1995,6.5625
28/04/1995,6.5
31/05/1995,6.125
30/06/1995,6.125
31/07/1995,6.25
31/08/1995,6.25
29/09/1995,6
31/10/1995,6.125
30/11/1995,5.9375
29/12/1995,5.6875
31/01/1996,5.5
29/02/1996,5.375
29/03/1996,5.5625
30/04/1996,5.5625
31/05/1996,5.5
28/06/1996,5.625
31/07/1996,5.75
30/08/1996,5.6875
30/09/1996,5.6875
31/10/1996,5.5625
29/11/1996,5.5625
31/12/1996,5.625
31/01/1997,5.625
28/02/1997,5.625
31/03/1997,5.875
30/04/1997,5.9375
30/05/1997,5.9375
30/06/1997,6
31/07/1997,5.875
29/08/1997,5.8438
30/09/1997,6
31/10/1997,6.0625
28/11/1997,6.25
31/12/1997,6
30/01/1998,6.0625
27/02/1998,6.1563
31/03/1998,6.3125
30/04/1998,6.25
29/05/1998,6.1563
30/06/1998,6.4688
31/07/1998,6.5
31/08/1998,7.0938
30/09/1998,6.5469
30/10/1998,6.1563
30/11/1998,6.2031
31/12/1998,6.9844
29/01/1999,6.9063
26/02/1999,7.4844
31/03/1999,6.6875
30/04/1999,6.0521
31/05/1999,5.9271
30/06/1999,5.7188
30/07/1999,5.8875
31/08/1999,5.675
30/09/1999,6.35
29/10/1999,6.7235
30/11/1999,6.375
31/12/1999,6.3375
31/01/2000,6.35
29/02/2000,6.25
31/03/2000,6.4188
28/04/2000,6.5
31/05/2000,7.1875
30/06/2000,7.1875
31/07/2000,7.2212
31/08/2000,7.15
29/09/2000,7.01875
31/10/2000,7.0125
30/11/2000,7.13025
29/12/2000,6.7375
31/01/2001,5.7188
28/02/2001,5.1375
30/03/2001,4.99479
30/04/2001,4.5
31/05/2001,4.125
29/06/2001,3.80021
31/07/2001,3.81208
31/08/2001,3.60438
28/09/2001,3.13858
31/10/2001,3.22063
30/11/2001,2.48646
31/12/2001,2.42708
31/01/2002,2.33854
28/02/2002,2.34708
29/03/2002,2.23479
30/04/2002,2.185
31/05/2002,2.20521
28/06/2002,2.16854
31/07/2002,2.29521
30/08/2002,2.72833
30/09/2002,3.07979
31/10/2002,2.60479
29/11/2002,2.16229
31/12/2002,2.40563
31/01/2003,1.98479
28/02/2003,2.08083
31/03/2003,1.885
30/04/2003,1.75
30/05/2003,1.70833
30/06/2003,1.555
31/07/2003,1.60667
29/08/2003,1.83729
30/09/2003,1.80833
31/10/2003,1.85167
28/11/2003,1.79688
31/12/2003,1.64833
30/01/2004,1.57833
27/02/2004,1.43625
31/03/2004,1.21479
30/04/2004,1.27833
31/05/2004,1.49667
30/06/2004,2.12583
30/07/2004,2.02667
31/08/2004,2.16833
30/09/2004,2.22167
29/10/2004,2.275
30/11/2004,2.44667
31/12/2004,2.605
31/01/2005,2.91
28/02/2005,2.98167
31/03/2005,3.3825
29/04/2005,3.37667
31/05/2005,3.45333
30/06/2005,3.73167
29/07/2005,3.95833
31/08/2005,4.16583
30/09/2005,4.49167
31/10/2005,4.68188
30/11/2005,4.87625
30/12/2005,4.96667
31/01/2006,5.20917
28/02/2006,5.305
31/03/2006,5.10333
28/04/2006,4.99167
31/05/2006,4.84333
30/06/2006,5.07833
31/07/2006,5.245
31/08/2006,5.21875
29/09/2006,5.24
31/10/2006,5.22875
30/11/2006,5.14625
29/12/2006,4.945
31/01/2007,4.96813
28/02/2007,5.24125
30/03/2007,5.055
30/04/2007,5.05063
31/05/2007,5.045
29/06/2007,5.03875
31/07/2007,5.03
31/08/2007,5.03375
28/09/2007,5.0975
31/10/2007,4.9975
30/11/2007,4.28
31/12/2007,4.035
31/01/2008,2.9975
29/02/2008,2.99
31/03/2008,2.26
30/04/2008,2.30375
30/05/2008,2.6425
30/06/2008,3.635
31/07/2008,3.84875
29/08/2008,4.1625
30/09/2008,4.37875
31/10/2008,4.5875
28/11/2008,3.42375
31/12/2008,2.51
30/01/2009,1.2
27/02/2009,1.14875
31/03/2009,1.15
30/04/2009,0.9325
29/05/2009,0.8425
30/06/2009,0.64
31/07/2009,0.64288
31/08/2009,0.6475
30/09/2009,0.65
30/10/2009,0.745
30/11/2009,0.76875
31/12/2009,0.7675
29/01/2010,0.77125
26/02/2010,0.77
31/03/2010,0.72375
30/04/2010,0.72625
31/05/2010,0.72625
30/06/2010,0.725
30/07/2010,0.725
31/08/2010,0.72
30/09/2010,0.72
29/10/2010,0.73875
30/11/2010,0.7475
31/12/2010,0.75125
31/01/2011,0.75
28/02/2011,0.75
31/03/2011,0.75
29/04/2011,0.75
31/05/2011,0.7025
30/06/2011,0.63813
29/07/2011,0.6
31/08/2011,0.6
30/09/2011,0.60125
31/10/2011,0.705
30/11/2011,0.72375
30/12/2011,0.77875
31/01/2012,0.815
29/02/2012,0.85375
30/03/2012,0.88
30/04/2012,0.89875
31/05/2012,0.91625
29/06/2012,0.92875
31/07/2012,0.94875
31/08/2012,0.95375
28/09/2012,0.95688
31/10/2012,0.97125
30/11/2012,0.975
31/12/2012,0.995
31/01/2013,0.9925
28/02/2013,0.98625
29/03/2013,0.98625
30/04/2013,0.97125
31/05/2013,0.965
28/06/2013,0.96625
31/07/2013,0.96125
30/08/2013,0.9575
30/09/2013,0.95625
31/10/2013,0.95625
29/11/2013,0.95735
31/12/2013,0.95625
31/01/2014,0.9575
28/02/2014,0.9525
31/03/2014,0.95125
30/04/2014,0.95125
30/05/2014,0.9525
30/06/2014,0.95125
31/07/2014,0.95
29/08/2014,0.94625
30/09/2014,0.93625
31/10/2014,0.905
28/11/2014,0.875
31/12/2014,0.8575
30/01/2015,0.85625
27/02/2015,0.79281
31/03/2015,0.7725
30/04/2015,0.7775
29/05/2015,0.775
30/06/2015,0.775
31/07/2015,0.78625
31/08/2015,0.86375
30/09/2015,0.895
30/10/2015,0.98625
30/11/2015,1.11625
31/12/2015,1.54875
29/01/2016,1.71
29/02/2016,1.74333
31/03/2016,1.80333
29/04/2016,2.028
31/05/2016,2.14909
30/06/2016,2.22273
29/07/2016,2.23
31/08/2016,2.332
30/09/2016,2.355
31/10/2016,2.34
30/11/2016,2.078
30/12/2016,2.035
31/01/2017,1.992
28/02/2017,1.7875
31/03/2017,1.735
28/04/2017,1.72875
31/05/2017,1.72375
30/06/2017,1.78125
31/07/2017,1.79625
31/08/2017,1.795
29/09/2017,1.79125
