"","yearmon","dates","firms","MV","BM","prices","Vol","years","RF","RF_m"
"1",Jun 1985,1985-06-03,"DONG.A.SOCIO.HOLDINGS",24713.04,1.52,100.12,6.3,"1984-1985",0,0
"2",Jun 1985,1985-06-03,"DONG.WHA.PHARM.",11183.39,1.27,110.68,8.8,"1984-1985",0,0
"3",Jun 1985,1985-06-03,"KIA.MOTORS",149819.9,0.94,105.42,1.1,"1984-1985",0,0
"4",Jun 1985,1985-06-03,"SK.NETWORKS",67910.31,0.67,216,1.7,"1984-1985",0,0
"5",Jun 1985,1985-06-04,"DONG.A.SOCIO.HOLDINGS",24974.4,1.49,101.18,7.9,"1984-1985",0,0
"6",Jun 1985,1985-06-04,"DONG.WHA.PHARM.",11183.39,1.27,110.68,19.8,"1984-1985",0,0
"7",Jun 1985,1985-06-04,"SK.NETWORKS",66652.75,0.68,212,3,"1984-1985",0,0
"8",Jun 1985,1985-06-05,"DONG.A.SOCIO.HOLDINGS",24945.36,1.49,101.06,11.3,"1984-1985",0,0
"9",Jun 1985,1985-06-05,"DONG.WHA.PHARM.",11183.39,1.27,110.68,16.9,"1984-1985",0,0
"10",Jun 1985,1985-06-05,"KIA.MOTORS",148279.9,0.95,104.33,1.8,"1984-1985",0,0
"11",Jun 1985,1985-06-05,"SK.NETWORKS",66967.13,0.68,213,4.5,"1984-1985",0,0
"12",Jun 1985,1985-06-07,"DONG.A.SOCIO.HOLDINGS",25032.48,1.49,101.41,17.2,"1984-1985",0,0
"13",Jun 1985,1985-06-07,"KIA.MOTORS",149159.9,0.94,104.95,1.9,"1984-1985",0,0
"14",Jun 1985,1985-06-07,"SK.NETWORKS",66652.75,0.68,212,2.2,"1984-1985",0,0
"15",Jun 1985,1985-06-07,"TONGYANG",32232,2.13,73.91,1.9,"1984-1985",0,0
"16",Jun 1985,1985-06-10,"DONG.A.SOCIO.HOLDINGS",25003.44,1.49,101.29,20.4,"1984-1985",0,0
"17",Jun 1985,1985-06-10,"DONG.WHA.PHARM.",11271.69,1.27,111.55,3.5,"1984-1985",0,0
"18",Jun 1985,1985-06-10,"KIA.MOTORS",150259.9,0.94,105.73,2.2,"1984-1985",0,0
"19",Jun 1985,1985-06-10,"SK.NETWORKS",67281.56,0.67,214,3,"1984-1985",0,0
"20",Jun 1985,1985-06-10,"TONGYANG",32295.2,2.13,74.06,1,"1984-1985",0,0
"21",Jun 1985,1985-06-11,"DONG.A.SOCIO.HOLDINGS",25032.48,1.49,101.41,14.5,"1984-1985",0,0
"22",Jun 1985,1985-06-11,"DONG.WHA.PHARM.",11281.5,1.27,111.65,29.2,"1984-1985",0,0
"23",Jun 1985,1985-06-11,"KIA.MOTORS",159279.9,0.88,112.07,7.8,"1984-1985",0,0
"24",Jun 1985,1985-06-11,"SK.NETWORKS",70739.94,0.64,225,7.6,"1984-1985",0,0
"25",Jun 1985,1985-06-11,"TONGYANG",33180,2.08,76.09,1.4,"1984-1985",0,0
"26",Jun 1985,1985-06-12,"DONG.A.SOCIO.HOLDINGS",25351.92,1.47,102.71,16,"1984-1985",0,0
"27",Jun 1985,1985-06-12,"KIA.MOTORS",163679.9,0.86,115.17,22,"1984-1985",0,0
"28",Jun 1985,1985-06-12,"SK.NETWORKS",70111.19,0.65,223,3.7,"1984-1985",0,0
"29",Jun 1985,1985-06-12,"TONGYANG",33938.4,2.04,77.83,9.4,"1984-1985",0,0
"30",Jun 1985,1985-06-13,"DONG.A.SOCIO.HOLDINGS",25003.44,1.49,101.29,8,"1984-1985",0,0
"31",Jun 1985,1985-06-13,"DONG.WHA.PHARM.",11281.5,1.27,111.65,29.1,"1984-1985",0,0
"32",Jun 1985,1985-06-13,"KIA.MOTORS",163019.9,0.87,114.71,11.2,"1984-1985",0,0
"33",Jun 1985,1985-06-13,"SK.NETWORKS",69733.88,0.65,221.8,2.4,"1984-1985",0,0
"34",Jun 1985,1985-06-13,"TONGYANG",33622.4,2.04,77.1,2.7,"1984-1985",0,0
"35",Jun 1985,1985-06-14,"DONG.A.SOCIO.HOLDINGS",24829.2,1.49,100.59,11.7,"1984-1985",0,0
"36",Jun 1985,1985-06-14,"DONG.WHA.PHARM.",11330.55,1.25,112.14,35.8,"1984-1985",0,0
"37",Jun 1985,1985-06-14,"KIA.MOTORS",171599.9,0.82,120.74,22.4,"1984-1985",0,0
"38",Jun 1985,1985-06-14,"SK.NETWORKS",70111.19,0.65,223,5.7,"1984-1985",0,0
"39",Jun 1985,1985-06-14,"TONGYANG",34317.6,2,78.7,4.7,"1984-1985",0,0
"40",Jun 1985,1985-06-17,"DONG.A.SOCIO.HOLDINGS",24945.36,1.49,101.06,17.7,"1984-1985",0,0
"41",Jun 1985,1985-06-17,"DONG.WHA.PHARM.",11350.17,1.25,112.33,13.6,"1984-1985",0,0
"42",Jun 1985,1985-06-17,"KIA.MOTORS",164999.9,0.85,116.1,16.8,"1984-1985",0,0
"43",Jun 1985,1985-06-17,"SK.NETWORKS",72311.94,0.62,230,8.4,"1984-1985",0,0
"44",Jun 1985,1985-06-17,"TONGYANG",35265.6,1.96,80.87,10,"1984-1985",0,0
"45",Jun 1985,1985-06-18,"DONG.A.SOCIO.HOLDINGS",24800.16,1.49,100.47,7.7,"1984-1985",0,0
"46",Jun 1985,1985-06-18,"KIA.MOTORS",162799.9,0.87,114.55,11,"1984-1985",0,0
